indice_tiempo,empresa,direccion,localidad,provincia,region,producto,precio,fecha_vigencia,empresabandera,latitud,longitud,geojson,abreviatura_provincia,latitud_rad,longitud_rad,cantidad_estaciones_alrededor
2024-08,10 DE SETIEMBRE S.A.,Av. Mosconi 299,LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,GNC,409.9,2024-08-01 13:40:00,PUMA,-34.658476,-58.529443,"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}",BA,-0.6049045199234342,-1.0215314897083474,9
2024-08,197 COMBUSTIBLES SRL,Hipolito Iriyoyen 2688,EL TALAR,BUENOS AIRES,,GNC,490.0,2024-08-05 13:44:00,PUMA,-34.47597,-58.66318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",BA,-0.6017191893187894,-1.023865640690087,8
2024-09,4 GNC  S.A.,LA QUEMADA 2189,FIRMAT,SANTA FE,CENTRO,GNC,659.0,2024-09-04 14:00:00,BLANCA,-33.46387,-61.49651,"{""type"":""Point"",""coordinates"":[-61.49651,-33.46387]}",SF,-0.5840547119593549,-1.0733165779856182,2
2024-08,ABALSAMO EGIDIO,TRIUNVIRATO 3797,SAN MARTIN,BUENOS AIRES,PAMPEANA,GNC,479.9,2024-08-19 15:42:00,BLANCA,-34.58127,-58.57441,"{""type"":""Point"",""coordinates"":[-58.57441,-34.58127]}",BA,-0.6035570210211395,-1.0223163119130918,4
2024-08,ACCESO SUR SAN LORENZO S.R.L.,RTA AO12 KM 65,SAN LORENZO,SANTA FE,CENTRO,GNC,569.0,2024-08-02 14:00:00,YPF,-32.76575,-60.74394,"{""type"":""Point"",""coordinates"":[-60.74394,-32.76575]}",SF,-0.571870219385332,-1.0601817536338844,4
2024-08,ACTION DUAL S.R.L,JUAN D. PERON 2330,BANFIELD,BUENOS AIRES,,GNC,450.0,2024-08-03 15:32:00,GULF,-34.74335,-58.43025,"{""type"":""Point"",""coordinates"":[-58.43025,-34.74335]}",BA,-0.6063858506727718,-1.0198002452634167,8
2024-08,ACTION VIS S.A.,AVDA BELGRANO 1017,SALTA,SALTA,NOA,GNC,625.0,2024-08-06 14:26:00,BLANCA,-24.7871,-65.41646,"{""type"":""Point"",""coordinates"":[-65.41646,-24.7871]}",S,-0.43261650702108645,-1.1417326119991698,6
2024-09,ADD SRL,RUTA PROVINCIAL N°13 - KM 55.1,LUQUE,CORDOBA,CENTRO,GNC,699.0,2024-09-03 11:26:00,BLANCA,-31.641336,-63.35416,"{""type"":""Point"",""coordinates"":[-63.35416,-31.641336]}",CBA,-0.5522454929298125,-1.1057386868352908,4
2024-08,ADES S.R.L.,AV HOUSSAY ESQ COLECTORA AV BOLIVIA,SALTA,SALTA,,GNC,642.9,2024-08-05 20:37:00,BLANCA,-24.730568,-65.412224,"{""type"":""Point"",""coordinates"":[-65.412224,-24.730568]}",S,-0.43162983748834904,-1.1416586798520552,0
2024-08,ADROGUE DENAK BAT S.A.,ESPORA 1491,ADROGUE,BUENOS AIRES,PAMPEANA,GNC,449.0,2024-08-01 09:52:00,YPF,-34.80892,-58.3883,"{""type"":""Point"",""coordinates"":[-58.3883,-34.80892]}",BA,-0.6075302630633046,-1.0190680796422051,13
